District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
GRANDVIEW,Oklahoma,4013260,141,1043000,227000,727000,89000,975000,7397,1610,5156,631
HEALTH LEADERSHIP HIGH SCHOOL,New Mexico,3500162,141,2837000,50000,2671000,116000,2307000,20121,355,18943,823
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE JUNIOR HIGH SCH,Arizona,400227,141,1484000,6000,1000000,478000,1216000,10525,43,7092,3390
KENWOOD,California,619410,141,3261000,2443000,768000,50000,2603000,23128,17326,5447,355
PRAIRIE HOME R-V,Missouri,2925530,141,1872000,1033000,671000,168000,2217000,13277,7326,4759,1191
REPUBLIC-MICHIGAMME SCHOOLS,Michigan,2629580,141,2943000,2459000,269000,215000,2880000,20872,17440,1908,1525
RONDOUT SD 72,Illinois,1734620,141,6190000,4733000,1424000,33000,5830000,43901,33567,10099,234
SUTTON SCHOOL DISTRICT,Vermont,5007950,141,3032000,39000,2938000,55000,2774000,21504,277,20837,390
WAITSFIELD SCHOOL DISTRICT,Vermont,5008400,141,2589000,100000,2489000,0,2518000,18362,709,17652,0
WESTHAMPTON,Massachusetts,2512690,141,3043000,2320000,694000,29000,2627000,21582,16454,4922,206
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. 2,Arizona,400404,140,2290000,0,1064000,1226000,1767000,16357,0,7600,8757
AKROS MIDDLE SCHOOL,Ohio,3901428,140,1384000,0,1114000,270000,1248000,9886,0,7957,1929
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE TRAIL HIGH,Arizona,400357,140,1221000,2000,1101000,118000,1257000,8721,14,7864,843
ATHENS PUBLIC SCHOOLS,Maine,2314817,140,2363000,831000,1393000,139000,2232000,16879,5936,9950,993
CIRCLE ELEM,Montana,3006790,140,1741000,860000,800000,81000,1678000,12436,6143,5714,579
CITY ON A HILL CHARTER PUBLIC SCHOOL NEW BEDFORD (DISTRICT),MASSACHUSETTS,2500553,140,2577000,2288000,1000,288000,2611000,18407,16343,7,2057
CONSTELLATION SCHOOLS: COLLINWOOD VILLAGE ACADEMY,Ohio,3901453,140,1376000,62000,1150000,164000,1360000,9829,443,8214,1171
FRANKLIN SCHOOL DISTRICT,Vermont,5004110,140,1843000,29000,1810000,4000,1852000,13164,207,12929,29
GRACEMONT,Oklahoma,4013080,140,1436000,434000,750000,252000,1534000,10257,3100,5357,1800
IN SCH FOR THE BLIND & VIS IMPRD,Indiana,1800023,140,,,,,,,,,
MINNESOTA EXCELLENCE IN LEARNING AC,MINNESOTA,2700406,140,1902000,37000,1665000,200000,2207000,13586,264,11893,1429
NEWPORT TOWN SCHOOL DISTRICT,Vermont,5006030,140,2878000,42000,2797000,39000,2696000,20557,300,19979,279
SCIOTOVILLE ELEMENTARY ACADEMY,Ohio,3901348,140,1267000,97000,1067000,103000,1255000,9050,693,7621,736
SIDNEY ISD,Texas,4840170,140,1792000,322000,1374000,96000,1771000,12800,2300,9814,686
STRASBURG 15,North Dakota,3800016,140,2563000,884000,1542000,137000,2505000,18307,6314,11014,979
THE INSTITUTE FOR THE DEVELOPMENT OF YOU,North Carolina,3700352,140,1340000,441000,874000,25000,1332000,9571,3150,6243,179
ARMSTRONG TWP HSD 225,Illinois,1704230,139,2480000,2030000,359000,91000,2159000,17842,14604,2583,655
CHEYLIN,Kansas,2004790,139,2531000,778000,1621000,132000,2336000,18209,5597,11662,950
DAYTON LEADERSHIP ACADEMIES-EARLY LEARNING ACADEMY,Ohio,3900057,139,,,,,,,,,
LIFE SKILLS CENTER OF PONTIAC,Michigan,2600292,139,1488000,36000,1189000,263000,1618000,10705,259,8554,1892
PRAIRIE CITY SD 4,Oregon,4110110,139,2698000,628000,1491000,579000,2479000,19410,4518,10727,4165
SAN JON MUNICIPAL SCHOOLS,New Mexico,3502340,139,2642000,289000,2169000,184000,2480000,19007,2079,15604,1324
TESFA INTERNATIONAL SCHOOL,MINNESOTA,2700415,139,2398000,267000,1660000,471000,2206000,17252,1921,11942,3388
WALCOTT ISD,Texas,4844370,139,1707000,492000,1131000,84000,1589000,12281,3540,8137,604
YOUNGSVILLE ACADEMY,NORTH CAROLINA,3700387,139,1004000,259000,745000,0,811000,7223,1863,5360,0
ALLENDALE CCSD 17,Illinois,1703450,138,1655000,576000,941000,138000,1610000,11993,4174,6819,1000
BRACEVILLE SD 75,Illinois,1706840,138,1748000,528000,1124000,96000,1824000,12667,3826,8145,696
CORNERSTONE CHARTER SCHOOL INC,Arizona,400405,138,1921000,1000,1708000,212000,1878000,13920,7,12377,1536
HARLEM H S,Montana,3013400,138,2818000,529000,1212000,1077000,2617000,20420,3833,8783,7804
HEDLEY ISD,Texas,4822850,138,1885000,609000,1168000,108000,1440000,13659,4413,8464,783
LOWREY,Oklahoma,4018480,138,1274000,287000,746000,241000,1469000,9232,2080,5406,1746
MINNESOTA ONLINE HIGH SCHOOL,Minnesota,2700260,138,1581000,45000,1497000,39000,1527000,11457,326,10848,283
NEW HEIGHTS SCHOOL INC.,Minnesota,2723380,138,1479000,35000,1358000,86000,1434000,10717,254,9841,623
NEWFIELDS SCHOOL DISTRICT,New Hampshire,3305190,138,2378000,1873000,487000,18000,2338000,17232,13572,3529,130
SUMMIT ACADEMY COMMUNITY SCHOOL ALTERNATIVE LEARNERS-LORAIN,Ohio,3900109,138,2752000,3000,2404000,345000,2752000,19942,22,17420,2500
SWEETWATER,Oklahoma,4029310,138,4178000,3274000,739000,165000,3000000,30275,23725,5355,1196
BROADUS ELEM,Montana,3000006,137,2103000,1026000,998000,79000,1866000,15350,7489,7285,577
