District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
CHESAPEAKE CITY PBLC SCHS,Virginia,5100810,39943,463717000,220090000,215910000,27717000,461544000,11609,5510,5405,694
LINCOLN PUBLIC SCHOOLS,Nebraska,3172840,39842,499940000,272088000,181921000,45931000,545311000,12548,6829,4566,1153
TULSA,Oklahoma,4030240,39455,400820000,190744000,156776000,53300000,426257000,10159,4834,3974,1351
CLEVELAND MUNICIPAL,Ohio,3904378,39410,733543000,276752000,336333000,120458000,881181000,18613,7022,8534,3057
ADAMS 12 FIVE STAR SCHOOLS,Colorado,806900,39287,426376000,177663000,224254000,24459000,402873000,10853,4522,5708,623
FONTANA UNIFIED,California,613920,38742,540174000,64851000,430818000,44505000,495341000,13943,1674,11120,1149
RICHARDSON ISD,Texas,4837020,38738,404491000,251107000,118239000,35145000,375664000,10442,6482,3052,907
CORPUS CHRISTI ISD,Texas,4815270,38614,392385000,178130000,166504000,47751000,382751000,10162,4613,4312,1237
SAVANNAH-CHATHAM COUNTY,Georgia,1301020,38323,482268000,282963000,156238000,43067000,464459000,12584,7384,4077,1124
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Minnesota,2703180,38104,514916000,124454000,369388000,21074000,507435000,13513,3266,9694,553
KERN HIGH,California,619540,38070,524983000,144340000,344484000,36159000,492443000,13790,3791,9049,950
ST. TAMMANY PARISH,Louisiana,2201650,38069,507650000,248346000,222872000,36432000,503567000,13335,6524,5854,957
ST. PAUL PUBLIC SCHOOL DISTRICT,Minnesota,2733840,37698,691304000,162611000,460782000,67911000,696509000,18338,4314,12223,1801
JOINT SCHOOL DISTRICT NO. 2,Idaho,1602100,37449,281989000,76072000,189762000,16155000,258215000,7530,2031,5067,431
HARFORD COUNTY PUBLIC SCHOOLS,Maryland,2400390,37448,563870000,295392000,241026000,27452000,540127000,15057,7888,6436,733
LEANDER ISD,Texas,4827030,37158,412778000,296811000,101082000,14885000,400634000,11109,7988,2720,401
SPRING ISD,Texas,4841220,36890,409444000,161970000,209035000,38439000,359780000,11099,4391,5666,1042
WILLIAMSON COUNTY,Tennessee,4704530,36874,326751000,190363000,124444000,11944000,345783000,8861,5163,3375,324
MINNEAPOLIS PUBLIC SCHOOL DISTRICT,Minnesota,2721240,36793,716799000,221299000,434427000,61073000,783292000,19482,6015,11807,1660
CLAY,Florida,1200300,36638,327061000,94259000,204641000,28161000,308797000,8927,2573,5585,769
ST. JOHNS,Florida,1201740,36593,368394000,218305000,132952000,17137000,349541000,10067,5966,3633,468
JEFFERSON COUNTY,Alabama,101920,36092,344274000,111793000,199350000,33131000,338349000,9539,3097,5523,918
PEORIA UNIFIED SCHOOL DISTRICT,Arizona,406250,36042,304660000,143221000,138370000,23069000,288368000,8453,3974,3839,640
POWAY UNIFIED,California,631530,35771,454431000,252687000,189843000,11901000,421874000,12704,7064,5307,333
GILBERT UNIFIED DISTRICT,Arizona,403400,35516,284987000,129018000,140366000,15603000,248612000,8024,3633,3952,439
SPRING BRANCH ISD,Texas,4841100,35301,450543000,374659000,31970000,43914000,429647000,12763,10613,906,1244
IRVING ISD,Texas,4824420,34929,386610000,153294000,188073000,45243000,366965000,11068,4389,5384,1295
JOHNSTON COUNTY PUBLIC SCHOOLS,North Carolina,3702370,34857,285036000,63207000,193659000,28170000,311093000,8177,1813,5556,808
FREMONT UNIFIED,California,614400,34852,424426000,175511000,231148000,17767000,463644000,12178,5036,6632,510
EDINBURG CISD,Texas,4818180,34570,394282000,74185000,261398000,58699000,358460000,11405,2146,7561,1698
CANYONS DISTRICT,Utah,4900142,34423,322832000,173360000,131018000,18454000,330558000,9378,5036,3806,536
CINCINNATI CITY,Ohio,3904375,34227,600572000,326473000,181622000,92477000,594505000,17547,9538,5306,2702
DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,Iowa,1908970,34219,482554000,145131000,289237000,48186000,489020000,14102,4241,8453,1408
KELLER ISD,Texas,4825260,34180,353248000,220073000,117808000,15367000,434692000,10335,6439,3447,450
DURHAM PUBLIC SCHOOLS,North Carolina,3701260,34023,372940000,137321000,194518000,41101000,379752000,10961,4036,5717,1208
MORENO VALLEY UNIFIED,California,625800,33942,472982000,69460000,363301000,40221000,423757000,13935,2046,10704,1185
MANSFIELD ISD,Texas,4828920,33809,387079000,177315000,188782000,20982000,372680000,11449,5245,5584,621
DEER VALLEY UNIFIED DISTRICT,Arizona,407750,33738,273905000,146380000,105504000,22021000,253630000,8119,4339,3127,653
LEON,Florida,1201110,33736,344426000,154212000,155369000,34845000,374839000,10209,4571,4605,1033
AMARILLO ISD,Texas,4808130,33673,317592000,104526000,176463000,36603000,312388000,9432,3104,5240,1087
BUFFALO CITY SCHOOL DISTRICT,New York,3605850,33345,995056000,121763000,745823000,127470000,936622000,29841,3652,22367,3823
BERKELEY 01,South Carolina,4501170,33303,375053000,155891000,182632000,36530000,435753000,11262,4681,5484,1097
DESOTO CO SCHOOL DIST,Mississippi,2801320,33140,274563000,95541000,156240000,22782000,262411000,8285,2883,4715,687
NEBO DISTRICT,Utah,4900630,32680,259552000,80835000,162401000,16316000,252201000,7942,2474,4969,499
PHARR-SAN JUAN-ALAMO ISD,Texas,4834860,32612,381995000,58727000,263723000,59545000,340336000,11713,1801,8087,1826
MONTGOMERY COUNTY,Tennessee,4703030,32605,277258000,99331000,143349000,34578000,299160000,8504,3046,4397,1061
SAN JOSE UNIFIED,California,634590,32454,465805000,283234000,159314000,23257000,417479000,14353,8727,4909,717
IRVINE UNIFIED,California,684500,32319,373753000,259835000,100377000,13541000,473303000,11564,8040,3106,419
SAN RAMON VALLEY UNIFIED,California,635130,32255,377508000,220423000,150229000,6856000,389923000,11704,6834,4658,213
CALCASIEU PARISH,Louisiana,2200330,32208,424551000,221145000,157831000,45575000,395309000,13182,6866,4900,1415
NORFOLK CITY PBLC SCHS,Virginia,5102670,32148,382896000,138801000,188226000,55869000,379059000,11910,4318,5855,1738
GASTON COUNTY SCHOOLS,North Carolina,3701620,32091,262187000,56582000,173476000,32129000,272804000,8170,1763,5406,1001
MT. DIABLO UNIFIED,California,626370,32005,422487000,180646000,211814000,30027000,381568000,13201,5644,6618,938
PARADISE VALLEY UNIFIED DISTRICT,Arizona,405930,31994,310611000,206168000,81190000,23253000,280554000,9708,6444,2538,727
MUSCOGEE COUNTY,Georgia,1303870,31899,345428000,148527000,156988000,39913000,311414000,10829,4656,4921,1251
ECTOR COUNTY ISD,Texas,4818000,31791,264378000,160182000,76967000,27229000,332432000,8316,5039,2421,857
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,805370,31776,360078000,189721000,148212000,22145000,322574000,11332,5971,4664,697
RICHMOND COUNTY,Georgia,1304380,31476,319974000,127659000,149151000,43164000,352069000,10166,4056,4739,1371
CABARRUS COUNTY SCHOOLS,North Carolina,3700530,31408,283513000,98430000,163139000,21944000,292848000,9027,3134,5194,699
INDIANAPOLIS PUBLIC SCHOOLS,Indiana,1804770,31371,472841000,137041000,275467000,60333000,457633000,15073,4368,8781,1923
WEBER DISTRICT,Utah,4901200,31317,235628000,71710000,145474000,18444000,243360000,7524,2290,4645,589
ANAHEIM UNION HIGH,California,602630,31276,424945000,112900000,275691000,36354000,400111000,13587,3610,8815,1162
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,Colorado,802490,31247,413299000,323030000,75870000,14399000,454637000,13227,10338,2428,461
TWIN RIVERS UNIFIED,California,601332,31137,452602000,74065000,337063000,41474000,395973000,14536,2379,10825,1332
WEST CONTRA COSTA UNIFIED,California,632550,30973,467554000,187304000,243810000,36440000,471241000,15096,6047,7872,1177
BALDWIN COUNTY,Alabama,100270,30931,338236000,169346000,145180000,23710000,299880000,10935,5475,4694,767
MONTGOMERY COUNTY,Alabama,102430,30667,301121000,89371000,169038000,42712000,296474000,9819,2914,5512,1393
OKALOOSA,Florida,1201380,30638,286339000,127694000,130076000,28569000,276572000,9346,4168,4246,932
SPOKANE SCHOOL DISTRICT,Washington,5308250,30434,415010000,107565000,270643000,36802000,414710000,13636,3534,8893,1209
LODI UNIFIED,California,622230,30395,383812000,87549000,263307000,32956000,348472000,12627,2880,8663,1084
MODESTO CITY SCHOOLS,California,601330,30372,402324000,84338000,284614000,33372000,362065000,13247,2777,9371,1099
CHULA VISTA ELEMENTARY,California,608610,30230,365268000,144857000,194297000,26114000,355493000,12083,4792,6427,864
BAKERSFIELD CITY,California,603630,30222,389569000,29495000,315018000,45056000,368290000,12890,976,10423,1491
FORT WAYNE COMMUNITY SCHOOLS,Indiana,1803630,30182,370757000,77846000,240842000,52069000,377616000,12284,2579,7980,1725
JERSEY CITY PUBLIC SCHOOLS,New Jersey,3407830,30063,747268000,127587000,576411000,43270000,756468000,24857,4244,19173,1439
TEMECULA VALLEY UNIFIED,California,600028,29996,323323000,108666000,203123000,11534000,318565000,10779,3623,6772,385
LAFAYETTE PARISH,Louisiana,2200870,29951,341966000,185697000,119783000,36486000,347007000,11418,6200,3999,1218
LAMAR CISD,Texas,4826580,29692,320114000,191380000,106294000,22440000,368842000,10781,6446,3580,756
LA JOYA ISD,Texas,4826130,29590,343922000,34371000,257379000,52172000,321539000,11623,1162,8698,1763
POUDRE SCHOOL DISTRICT R-1,Colorado,803990,29527,328820000,189370000,120876000,18574000,328176000,11136,6413,4094,629
OLATHE,Kansas,2010140,29430,373148000,123744000,232683000,16721000,324632000,12679,4205,7906,568
GRAND PRAIRIE ISD,Texas,4821420,29339,340650000,94153000,214112000,32385000,329770000,11611,3209,7298,1104
TACOMA SCHOOL DISTRICT,Washington,5308700,29323,455794000,161433000,254663000,39698000,540696000,15544,5505,8685,1354
CHINO VALLEY UNIFIED,California,608460,29314,347472000,110557000,218975000,17940000,293957000,11853,3771,7470,612
ALACHUA,Florida,1200030,29305,284322000,120094000,127007000,37221000,273720000,9702,4098,4334,1270
NEWPORT NEWS CITY PBLC SCHS,Virginia,5102640,29197,360328000,147070000,174798000,38460000,360150000,12341,5037,5987,1317
SUMNER COUNTY,Tennessee,4704020,29196,259510000,112861000,128258000,18391000,258399000,8889,3866,4393,630
WASHINGTON DISTRICT,Utah,4901140,29187,238116000,107426000,114790000,15900000,253545000,8158,3681,3933,545
ST. LOUIS CITY,Missouri,2929280,28960,387781000,259272000,62745000,65764000,378328000,13390,8953,2167,2271
LUBBOCK ISD,Texas,4828500,28921,307410000,129291000,129031000,49088000,287409000,10629,4470,4461,1697
ORANGE UNIFIED,California,628650,28899,347454000,190432000,137640000,19382000,307542000,12023,6590,4763,671
ROCHESTER CITY SCHOOL DISTRICT,New York,3624750,28886,815738000,126700000,607089000,81949000,861186000,28240,4386,21017,2837
DESERT SANDS UNIFIED,California,611110,28719,408746000,171396000,211635000,25715000,386854000,14233,5968,7369,895
SADDLEBACK VALLEY UNIFIED,California,633860,28706,339151000,198984000,125709000,14458000,315981000,11815,6932,4379,504
PAULDING COUNTY,Georgia,1304020,28643,283206000,92545000,173658000,17003000,285757000,9887,3231,6063,594
VISALIA UNIFIED,California,641160,28546,343414000,65603000,251160000,26651000,344343000,12030,2298,8798,934
HOUSTON COUNTY,Georgia,1302880,28530,300656000,113477000,160202000,26977000,290797000,10538,3977,5615,946
ROCKFORD SD 205,Illinois,1734510,28459,445867000,182952000,219565000,43350000,481314000,15667,6429,7715,1523
PATERSON PUBLIC SCHOOL DISTRICT,New Jersey,3412690,28362,638873000,63916000,538912000,36045000,646870000,22526,2254,19001,1271
MONTEBELLO UNIFIED,California,625470,28323,402547000,70364000,288201000,43982000,398703000,14213,2484,10176,1553
INDIAN PRAIRIE CUSD 204,Illinois,1741690,28283,434972000,292747000,131421000,10804000,415689000,15379,10351,4647,382
JACKSON PUBLIC SCHOOL DISTRICT,Mississippi,2802190,28019,291442000,103474000,137489000,50479000,278202000,10402,3693,4907,1802
COLORADO SPRINGS SCHOOL DISTRICT NO. 11 IN THE COUNTY OF E,Colorado,803060,27937,308956000,136363000,145032000,27561000,294232000,11059,4881,5191,987
ROSEMOUNT-APPLE VALLEY-EAGAN,Minnesota,2732390,27926,370007000,99015000,258199000,12793000,363418000,13250,3546,9246,458
LAKE WASHINGTON SCHOOL DISTRICT,Washington,5304230,27886,385982000,172527000,199800000,13655000,343204000,13841,6187,7165,490
UTICA COMMUNITY SCHOOLS,Michigan,2634470,27882,295785000,71022000,216987000,7776000,301823000,10608,2547,7782,279
PLAINFIELD SD 202,Illinois,1731740,27877,341284000,194796000,134652000,11836000,308244000,12242,6988,4830,425
STAFFORD CO PBLC SCHS,Virginia,5103660,27841,278509000,119630000,142995000,15884000,320146000,10004,4297,5136,571
BAY,Florida,1200090,27781,277236000,140666000,110611000,25959000,264686000,9979,5063,3982,934
KENT SCHOOL DISTRICT,Washington,5303960,27738,355302000,114012000,216035000,25255000,347233000,12809,4110,7788,910
SHAWNEE MISSION PUB SCH,Kansas,2011640,27643,339279000,152785000,168796000,17698000,409159000,12274,5527,6106,640
DENTON ISD,Texas,4816740,27559,321727000,207437000,90085000,24205000,376291000,11674,7527,3269,878
RICHLAND 02,South Carolina,4503390,27523,364458000,162477000,176135000,25846000,370675000,13242,5903,6400,939
ELIZABETH PUBLIC SCHOOLS,New Jersey,3404590,27396,566722000,67302000,462415000,37005000,542135000,20686,2457,16879,1351
KANAWHA COUNTY SCHOOLS,West Virginia,5400600,27346,315267000,113155000,167190000,34922000,311244000,11529,4138,6114,1277
HALL COUNTY,Georgia,1302610,27210,278879000,115153000,138717000,25009000,266840000,10249,4232,5098,919
WILLIAM S. HART UNION HIGH,California,642510,27155,312729000,96108000,208524000,8097000,304746000,11516,3539,7679,298
MADISON METROPOLITAN SCHOOL DISTRICT,Wisconsin,5508520,27112,416785000,300153000,88945000,27687000,423037000,15373,11071,3281,1021
PHOENIX UNION HIGH SCHOOL DISTRICT,Arizona,406330,27109,322967000,212673000,76601000,33693000,315669000,11914,7845,2826,1243
SANTA ROSA,Florida,1201650,26740,251388000,92085000,136503000,22800000,244123000,9401,3444,5105,853
YONKERS CITY SCHOOL DISTRICT,New York,3631920,26728,610386000,219929000,346918000,43539000,602650000,22837,8228,12980,1629
EAST SIDE UNION HIGH,California,611820,26684,390480000,189947000,182114000,18419000,365902000,14633,7118,6825,690
CHARLES COUNTY PUBLIC SCHOOLS,Maryland,2400270,26307,403612000,188681000,196303000,18628000,399543000,15342,7172,7462,708
NEW HANOVER COUNTY SCHOOLS,North Carolina,3703330,26214,249577000,78895000,145114000,25568000,266343000,9521,3010,5536,975
ONSLOW COUNTY SCHOOLS,North Carolina,3703450,26159,218409000,57125000,135637000,25647000,228430000,8349,2184,5185,980
COLUMBIA COUNTY,Georgia,1301410,26118,252157000,117390000,122005000,12762000,257240000,9655,4495,4671,489
GLENDALE UNIFIED,California,615240,26117,364194000,102113000,235151000,26930000,358122000,13945,3910,9004,1031
DOUGLAS COUNTY,Georgia,1301860,26016,289079000,120042000,143228000,25809000,268885000,11112,4614,5505,992
EVERGREEN SCHOOL DISTRICT (CLARK),Washington,5302700,26015,330846000,81668000,230320000,18858000,301651000,12718,3139,8853,725
RIALTO UNIFIED,California,632370,25994,342355000,48409000,264800000,29146000,308372000,13171,1862,10187,1121
BOISE INDEPENDENT DISTRICT,Idaho,1600360,25900,245505000,93261000,131538000,20706000,232728000,9479,3601,5079,799
PLACENTIA-YORBA LINDA UNIFIED,California,630660,25826,316222000,149843000,147528000,18851000,292115000,12244,5802,5712,730
CARROLLTON-FARMERS BRANCH ISD,Texas,4813050,25796,299904000,220202000,55682000,24020000,265480000,11626,8536,2159,931
STATE-SPONSORED CHARTER SCHOOLS,Nevada,3200001,25748,185285000,2447000,178372000,4466000,228265000,7196,95,6928,173
LIVINGSTON PARISH,Louisiana,2201020,25718,257969000,73995000,162862000,21112000,254922000,10031,2877,6333,821
SPRINGFIELD,Massachusetts,2511130,25689,509405000,82374000,375974000,51057000,479825000,19830,3207,14636,1988
SPRINGFIELD R-XII,Missouri,2928860,25671,281405000,184999000,66616000,29790000,292882000,10962,7207,2595,1160
DORCHESTER 02,South Carolina,4502010,25643,245999000,83587000,143971000,18441000,315255000,9593,3260,5614,719
CARROLL COUNTY PUBLIC SCHOOLS,Maryland,2400210,25551,368005000,199407000,155112000,13486000,348448000,14403,7804,6071,528
WORCESTER,Massachusetts,2513230,25527,454399000,132228000,286980000,35191000,433145000,17801,5180,11242,1379
ARLINGTON CO PBLC SCHS,Virginia,5100270,25364,566112000,488663000,63675000,13774000,553468000,22320,19266,2510,543
VISTA UNIFIED,California,641190,25244,292013000,99678000,168477000,23858000,279655000,11568,3949,6674,945
LEXINGTON 01,South Carolina,4502700,25112,321981000,141467000,164895000,15619000,305893000,12822,5633,6566,622
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,801920,25063,258026000,115557000,130296000,12173000,236326000,10295,4611,5199,486
AIKEN 01,South Carolina,4500720,24798,264817000,103434000,138279000,23104000,255821000,10679,4171,5576,932
LITTLE ROCK SCHOOL DISTRICT,Arkansas,509000,24797,357442000,171097000,150977000,35368000,351597000,14415,6900,6089,1426
MCKINNEY ISD,Texas,4829850,24765,298845000,203916000,81990000,12939000,270066000,12067,8234,3311,522
POMONA UNIFIED,California,631320,24716,395211000,63911000,268169000,63131000,363255000,15990,2586,10850,2554
BIRMINGHAM CITY,Alabama,100390,24693,273626000,105175000,125189000,43262000,272202000,11081,4259,5070,1752
BUNCOMBE COUNTY SCHOOLS,North Carolina,3700450,24563,237060000,74586000,137443000,25031000,260639000,9651,3037,5596,1019
MIDLAND ISD,Texas,4830570,24555,270473000,232045000,19318000,19110000,289321000,11015,9450,787,778
SALT LAKE DISTRICT,Utah,4900870,24526,264480000,158260000,81429000,24791000,234735000,10784,6453,3320,1011
LAS CRUCES PUBLIC SCHOOLS,New Mexico,3501500,24513,263191000,37652000,193108000,32431000,255859000,10737,1536,7878,1323
DYSART UNIFIED DISTRICT,Arizona,402690,24500,198615000,81958000,98553000,18104000,169660000,8107,3345,4023,739
BIBB COUNTY,Georgia,1300420,24457,286129000,113345000,128031000,44753000,278372000,11699,4634,5235,1830
RICHLAND 01,South Carolina,4503360,24371,404607000,243319000,131363000,29925000,409537000,16602,9984,5390,1228
CHAFFEY JOINT UNION HIGH,California,608160,24361,335694000,134610000,182496000,18588000,378769000,13780,5526,7491,763
MCALLEN ISD,Texas,4829670,24330,254963000,77064000,137900000,39999000,246457000,10479,3167,5668,1644
BIRDVILLE ISD,Texas,4810230,24328,259608000,123767000,112176000,23665000,285253000,10671,5087,4611,973
LAREDO ISD,Texas,4826790,24199,289383000,34502000,205757000,49124000,266153000,11958,1426,8503,2030
SIOUX FALLS SCHOOL DISTRICT 49-5,South Dakota,4666270,24129,230640000,130284000,77231000,23125000,240887000,9559,5399,3201,958
ANTELOPE VALLEY UNION HIGH,California,602820,24127,308755000,54071000,232023000,22661000,285635000,12797,2241,9617,939
PFLUGERVILLE ISD,Texas,4834830,24100,277500000,160451000,96108000,20941000,336036000,11515,6658,3988,869
PITTSBURGH SD,Pennsylvania,4219170,24083,647548000,315537000,265531000,66480000,629053000,26888,13102,11026,2760
TUSTIN UNIFIED,California,640150,24079,293784000,149539000,130058000,14187000,268831000,12201,6210,5401,589
EDMOND,Oklahoma,4010590,23994,211715000,137115000,64669000,9931000,211762000,8824,5715,2695,414
HESPERIA UNIFIED,California,600014,23988,259724000,32519000,206144000,21061000,237416000,10827,1356,8594,878
RICHMOND CITY PBLC SCHS,Virginia,5103240,23980,349910000,159931000,133918000,56061000,338524000,14592,6669,5585,2338
PITT COUNTY SCHOOLS,North Carolina,3700012,23966,209072000,46636000,135191000,27245000,215459000,8724,1946,5641,1137
PUBLIC SCHOOLS OF ROBESON COUNTY,North Carolina,3703930,23943,216622000,23979000,151347000,41296000,211275000,9047,1002,6321,1725
MILLARD PUBLIC SCHOOLS,Nebraska,3173740,23913,259595000,136979000,113785000,8831000,265857000,10856,5728,4758,369
MOORE,Oklahoma,4020250,23890,192231000,82026000,94289000,15916000,184307000,8047,3433,3947,666
TORRANCE UNIFIED,California,639420,23885,288264000,103061000,170092000,15111000,317063000,12069,4315,7121,633
PROVIDENCE,Rhode Island,4400900,23867,457687000,132955000,272789000,51943000,446462000,19177,5571,11430,2176
HUNTSVILLE CITY,Alabama,101800,23827,267800000,126876000,113117000,27807000,410031000,11239,5325,4747,1167
RAPIDES PARISH,Louisiana,2201290,23820,244418000,79248000,135703000,29467000,241225000,10261,3327,5697,1237
GOOSE CREEK CISD,Texas,4821150,23748,274141000,158141000,92005000,23995000,288196000,11544,6659,3874,1010
SPOTSYLVANIA CO PBLC SCHS,Virginia,5103640,23731,272546000,131809000,126486000,14251000,270298000,11485,5554,5330,601
SCOTTSDALE UNIFIED DISTRICT,Arizona,407570,23531,227712000,176737000,34958000,16017000,202733000,9677,7511,1486,681
IDEA PUBLIC SCHOOLS,Texas,4800211,23526,275815000,14529000,216037000,45249000,214801000,11724,618,9183,1923
VANCOUVER SCHOOL DISTRICT,Washington,5309270,23522,292989000,81801000,191274000,19914000,263385000,12456,3478,8132,847
PALM SPRINGS UNIFIED,California,629550,23348,342446000,106746000,208064000,27636000,365774000,14667,4572,8911,1184
COLTON JOINT UNIFIED,California,609390,23288,298307000,47688000,227022000,23597000,271382000,12809,2048,9748,1013
JUDSON ISD,Texas,4824990,23286,248432000,112295000,113630000,22507000,239678000,10669,4822,4880,967
MANTECA UNIFIED,California,623610,23204,289916000,76777000,193630000,19509000,274205000,12494,3309,8345,841
WASHINGTON ELEMENTARY SCHOOL DISTRICT,Arizona,409060,23120,211841000,74584000,97891000,39366000,189277000,9163,3226,4234,1703
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,3700030,23115,190386000,43042000,121940000,25404000,202056000,8236,1862,5275,1099
FEDERAL WAY SCHOOL DISTRICT,Washington,5302820,23039,310014000,89319000,198264000,22431000,320034000,13456,3877,8606,974
HAYWARD UNIFIED,California,616740,22846,305511000,98141000,176894000,30476000,290029000,13373,4296,7743,1334
HURST-EULESS-BEDFORD ISD,Texas,4824060,22834,236721000,142237000,76261000,18223000,206069000,10367,6229,3340,798
EVANSVILLE VANDERBURGH SCHOOL CORP,Indiana,1803450,22825,309982000,99522000,182634000,27826000,299691000,13581,4360,8001,1219
MURRIETA VALLEY UNIFIED,California,600029,22825,262961000,95795000,155403000,11763000,239940000,11521,4197,6808,515
DOWNEY UNIFIED,California,611460,22649,291156000,67067000,202271000,21818000,286316000,12855,2961,8931,963
BLUE VALLEY,Kansas,2012000,22614,315429000,163719000,145011000,6699000,290245000,13948,7240,6412,296
GALENA PARK ISD,Texas,4820250,22549,264623000,128518000,110762000,25343000,223122000,11735,5699,4912,1124
SPRINGDALE SCHOOL DISTRICT,Arkansas,512660,22478,248500000,69586000,144933000,33981000,261034000,11055,3096,6448,1512
COWETA COUNTY,Georgia,1301500,22425,226904000,107868000,103548000,15488000,218698000,10118,4810,4618,691
WASHINGTION COUNTY PUBLIC SCHOOLS,Maryland,2400660,22303,320318000,110281000,186298000,23739000,319414000,14362,4945,8353,1064
LAKE ELSINORE UNIFIED,California,600027,22205,259839000,69078000,172842000,17919000,231501000,11702,3111,7784,807
ALVIN ISD,Texas,4808090,22183,237727000,80808000,140429000,16490000,331521000,10717,3643,6330,743
HERNANDO,Florida,1200810,22172,203686000,72245000,109265000,22176000,199016000,9187,3258,4928,1000
KENOSHA SCHOOL DISTRICT,Wisconsin,5507320,22160,292998000,98840000,170794000,23364000,284037000,13222,4460,7707,1054
PUYALLUP SCHOOL DISTRICT,Washington,5306960,22097,282963000,89975000,182317000,10671000,251851000,12805,4072,8251,483
TOLEDO CITY,Ohio,3904490,22053,349590000,122407000,172551000,54632000,414738000,15852,5551,7824,2477
KANSAS CITY,Kansas,2007950,22052,276568000,37574000,201720000,37274000,268810000,12542,1704,9147,1690
BOSSIER PARISH,Louisiana,2200270,22036,247858000,107967000,121472000,18419000,267427000,11248,4900,5512,836
PALMDALE ELEMENTARY,California,629580,22006,335510000,46978000,237722000,50810000,318873000,15246,2135,10803,2309
ONTARIO-MONTCLAIR,California,628470,21952,291571000,44836000,220242000,26493000,270669000,13282,2042,10033,1207
MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51,Colorado,804350,21904,208972000,81430000,111779000,15763000,205415000,9540,3718,5103,720
ASCENSION PARISH,Louisiana,2200090,21899,272575000,151379000,101532000,19664000,274675000,12447,6913,4636,898
SOUTH-WESTERN CITY,Ohio,3904480,21866,297627000,130053000,146273000,21301000,338754000,13611,5948,6690,974
GROSSMONT UNION HIGH,California,616230,21860,329738000,160721000,148224000,20793000,316191000,15084,7352,6781,951
COMPTON UNIFIED,California,609620,21835,348211000,43691000,267927000,36593000,306511000,15947,2001,12271,1676
NEWPORT-MESA UNIFIED,California,627240,21736,325973000,249363000,59596000,17014000,315815000,14997,11472,2742,783
BEAUFORT 01,South Carolina,4501110,21704,302506000,192250000,90409000,19847000,330149000,13938,8858,4166,914
NEW HAVEN SCHOOL DISTRICT,Connecticut,902790,21631,525245000,124351000,339610000,61284000,503988000,24282,5749,15700,2833
GREELEYSCHOOL DISTRICT NO. 6 IN THE COUNTY OF WELD AND STA,Colorado,804410,21587,216442000,65199000,130576000,20667000,203471000,10026,3020,6049,957
FAIRFIELD-SUISUN UNIFIED,California,613360,21554,246932000,72899000,157435000,16598000,232356000,11456,3382,7304,770
NORTHSHORE SCHOOL DISTRICT,Washington,5305910,21481,291572000,118567000,161863000,11142000,341504000,13573,5520,7535,519
HEMET UNIFIED,California,616920,21480,306886000,82739000,198815000,25332000,316868000,14287,3852,9256,1179
HAMILTON SOUTHEASTERN SCHOOLS,Indiana,1810650,21291,233106000,85138000,142151000,5817000,209407000,10949,3999,6677,273
REDLANDS UNIFIED,California,632070,21264,251358000,65279000,170667000,15412000,214504000,11821,3070,8026,725
AKRON CITY,Ohio,3904348,21261,391014000,152332000,203817000,34865000,404314000,18391,7165,9586,1640
COMAL ISD,Texas,4814730,21163,226041000,185936000,27810000,12295000,212563000,10681,8786,1314,581
PEARLAND ISD,Texas,4834440,21093,210106000,98477000,101990000,9639000,202943000,9961,4669,4835,457
OCEANSIDE UNIFIED,California,628250,21024,248618000,84115000,139366000,25137000,239014000,11825,4001,6629,1196
EDMONDS SCHOOL DISTRICT,Washington,5302400,21021,306524000,128172000,166113000,12239000,362160000,14582,6097,7902,582
BRIDGEPORT SCHOOL DISTRICT,Connecticut,900450,21015,470573000,84955000,342230000,43388000,445832000,22392,4043,16285,2065
NORTHWEST ISD,Texas,4833180,20976,247323000,196000000,43980000,7343000,267615000,11791,9344,2097,350
GREEN BAY AREA PUBLIC SCHOOL DISTRICT,Wisconsin,5505820,20953,280376000,91240000,162986000,26150000,296066000,13381,4355,7779,1248
SYRACUSE CITY SCHOOL DISTRICT,New York,3628590,20934,458866000,70437000,328991000,59438000,465337000,21920,3365,15716,2839
CUSD 300,Illinois,1708550,20926,320737000,195225000,107281000,18231000,303484000,15327,9329,5127,871
IREDELL-STATESVILLE SCHOOLS,North Carolina,3702310,20915,181329000,50487000,110184000,20658000,188304000,8670,2414,5268,988
HILLSBORO SD 1J,Oregon,4100023,20888,250414000,111487000,122729000,16198000,235050000,11988,5337,5876,775
HARTFORD SCHOOL DISTRICT,Connecticut,901920,20874,527210000,97001000,390661000,39548000,526440000,25257,4647,18715,1895
ABC UNIFIED,California,601620,20863,257162000,48612000,192445000,16105000,239286000,12326,2330,9224,772
ALLEN ISD,Texas,4807890,20822,242736000,179874000,57400000,5462000,224090000,11658,8639,2757,262
